Name,BlockType,Parent,Parameter,Sources,Destinations,Path
ActivityValue,Constant,TestStructure/InterForceControlTask/TorqueController/If Action Subsystem_activity_on,"Value=0",,TestStructure/InterForceControlTask/TorqueController/If Action Subsystem_activity_on/activity_gain,TestStructure/InterForceControlTask/TorqueController/If Action
Subsystem_activity_on/ActivityValue
Constant1,Constant,TestStructure/InterForceControlTask/TorqueController/Subsystem2,"Value=1",,TestStructure/InterForceControlTask/TorqueController/Subsystem2/Switch,TestStructure/InterForceControlTask/TorqueController/Subsystem2/Constant1
UD,UnitDelay,TestStructure/InterForceControlTask/TorqueController/Subsystem2/Discrete Derivative,"InitialCondition=ICPrevScaledInput",TestStructure/InterForceControlTask/TorqueController/Subsystem2/Discrete Derivative/TSamp,TestStructure/InterForceControlTask/TorqueController/Subsystem2/Discrete Derivative/Data Type Duplicate; TestStructure/InterForceControlTask/TorqueController/Subsystem2/Discrete Derivative/Diff,TestStructure/InterForceControlTask/TorqueController/Subsystem2/Discrete Derivative/UD
Constant,Constant,TestStructure/InterForceControlTask/TorqueController/Subsystem2/Function-Call Subsystem,"Value=1",,TestStructure/InterForceControlTask/TorqueController/Subsystem2/Function-Call Subsystem/Out1,TestStructure/InterForceControlTask/TorqueController/Subsystem2/Function-Call
Subsystem/Constant
Constant,Constant,TestStructure/InterForceControlTask/TorqueController/Subsystem2/Function-Call Subsystem1,"Value=0",,TestStructure/InterForceControlTask/TorqueController/Subsystem2/Function-Call Subsystem1/Out1,TestStructure/InterForceControlTask/TorqueController/Subsystem2/Function-Call
Subsystem1/Constant
Constant,Constant,TestStructure/InterForceControlTask/TorqueController/Subsystem2/Function-Call Subsystem2,"Value=-1",,TestStructure/InterForceControlTask/TorqueController/Subsystem2/Function-Call Subsystem2/Out1,TestStructure/InterForceControlTask/TorqueController/Subsystem2/Function-Call
Subsystem2/Constant
Gain,Gain,TestStructure/InterForceControlTask/TorqueController/Subsystem2,"Gain=0.4",TestStructure/InterForceControlTask/TorqueController/Subsystem2/Moving Maximum,TestStructure/InterForceControlTask/TorqueController/Subsystem2/If2,TestStructure/InterForceControlTask/TorqueController/Subsystem2/Gain
Gain2,Gain,TestStructure/InterForceControlTask/TorqueController/Subsystem2,"Gain=-1",TestStructure/InterForceControlTask/TorqueController/Subsystem2/Product,TestStructure/InterForceControlTask/TorqueController/Subsystem2/Switch,TestStructure/InterForceControlTask/TorqueController/Subsystem2/Gain2
Constant,Constant,TestStructure/InterForceControlTask/TorqueController/Subsystem2/If Action Subsystem2,"Value=1",,TestStructure/InterForceControlTask/TorqueController/Subsystem2/If Action Subsystem2/Out2,TestStructure/InterForceControlTask/TorqueController/Subsystem2/If Action
Subsystem2/Constant
Constant,Constant,TestStructure/InterForceControlTask/TorqueController/Subsystem2/If Action Subsystem2/Function-Call Subsystem,"Value=1",,TestStructure/InterForceControlTask/TorqueController/Subsystem2/If Action Subsystem2/Function-Call Subsystem/Out1,TestStructure/InterForceControlTask/TorqueController/Subsystem2/If Action
Subsystem2/Function-Call
Subsystem/Constant
Constant,Constant,TestStructure/InterForceControlTask/TorqueController/Subsystem2/If Action Subsystem2/Function-Call Subsystem1,"Value=0",,TestStructure/InterForceControlTask/TorqueController/Subsystem2/If Action Subsystem2/Function-Call Subsystem1/Out1,TestStructure/InterForceControlTask/TorqueController/Subsystem2/If Action
Subsystem2/Function-Call
Subsystem1/Constant
Constant,Constant,TestStructure/InterForceControlTask/TorqueController/Subsystem2/If Action Subsystem2/Function-Call Subsystem2,"Value=-1",,TestStructure/InterForceControlTask/TorqueController/Subsystem2/If Action Subsystem2/Function-Call Subsystem2/Out1,TestStructure/InterForceControlTask/TorqueController/Subsystem2/If Action
Subsystem2/Function-Call
Subsystem2/Constant
Constant,Constant,TestStructure/InterForceControlTask/TorqueController/Subsystem2/If Action Subsystem3,"Value=0",,TestStructure/InterForceControlTask/TorqueController/Subsystem2/If Action Subsystem3/Out1,TestStructure/InterForceControlTask/TorqueController/Subsystem2/If Action
Subsystem3/Constant
